[2025-11-30 12:58:23] [INFO] Iniciando diagnóstico v5 para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Detectando encoding para examples/broken.csv
[2025-11-30 12:58:23] [INFO] Encoding detectado: UTF-8-SIG (confiança=1.0)
[2025-11-30 12:58:23] [INFO] Detectando delimitador para examples/broken.csv
[2025-11-30 12:58:23] [WARN] Sniffer falhou: Could not determine delimiter
[2025-11-30 12:58:23] [INFO] Delimitador escolhido por heurística: ','
[2025-11-30 12:58:23] [WARN] Linha 327: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 328: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 329: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 330: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 331: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 333: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 335: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 336: número de colunas 6, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 337: número de colunas 6, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 338: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 339: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 340: número de colunas 6, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 341: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 342: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 343: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 344: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 345: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 346: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 348: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 349: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 350: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 351: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 352: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 353: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 356: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 357: número de colunas 6, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 358: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 359: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 361: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 362: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 363: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 364: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 365: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 366: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 367: número de colunas 2, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 368: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 369: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 370: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 372: número de colunas 4, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 373: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 374: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 375: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 376: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 379: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 381: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 382: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 383: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 384: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 386: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 387: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 389: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 390: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 393: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 394: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 395: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 396: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 397: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 400: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 401: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 402: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 403: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 404: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 407: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 408: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 409: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 410: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 411: número de colunas 1, esperado 5.
[2025-11-30 12:58:23] [WARN] Linha 412: número de colunas 1, esperado 5.
